XinJiang,NeiMeng,ShanXi,HeNan,ShanDong,JiangXi,SiChuan,GuangXi,Full_AUC_XJ,Full_AUC_NM,Full_AUC_SX,Full_AUC_HN,Full_AUC_SD,Full_AUC_JX,Full_AUC_SC,Full_AUC_GX,Numb_missingCpGs,Name_missingCpGs,AUC_Loss_XJ,AUC_Loss_NM,AUC_Loss_SX,AUC_Loss_HN,AUC_Loss_SD,AUC_Loss_JX,AUC_Loss_SC,AUC_Loss_GX
1.24043737909434e-243,6.04807929168137e-214,9.44513001371721e-157,2.25652446874011e-218,4.53773397412206e-152,1.04926541933123e-70,2.15528452239654e-199,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
0,0,0,0,0,4.54682004537017e-257,0,1,1,1,1,1,1,1,1,1,1,cg03334052,0,0,0,0,0,0,0,0
0,1.2166114509553e-296,0,0,0,0,1.67245982968912e-294,1,1,1,1,1,1,1,1,1,1,cg08597808,0,0,0,0,0,0,0,0
0,2.64892707868486e-153,8.74359842735006e-200,3.42407985713052e-93,7.23192362789888e-223,1.69532560547922e-141,3.94044060121971e-244,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.9201677458415e-19,1.60284530681129e-90,1.47847948135165e-160,2.69704404995198e-93,3.44756878732125e-248,1.91365383069459e-17,1.23993443259994e-181,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
0,3.62718906473946e-229,5.4408084196799e-311,7.02690415067269e-238,0,3.34170577558899e-119,3.04419681031336e-131,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
0,1.72462977143208e-165,2.3061320478541e-78,2.8904682954305e-136,7.19140299853573e-60,1.17962134165906e-140,1.76063300322764e-21,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
9.00905889900117e-50,6.5267337159215e-127,3.1544935600353e-146,2.21588242347946e-116,2.52787616703624e-201,1.63610291335603e-15,1.88680917039693e-101,0.999999999999998,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
3.48321981018135e-280,9.05965081256823e-68,1.51916060663017e-200,1.16056512969832e-70,1.06080350098791e-75,2.76942276543185e-88,3.91199336722288e-134,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.42677183375568e-308,3.94838187750526e-65,6.25231057750015e-179,3.69355772982172e-232,2.21152521557508e-07,2.45747516969565e-51,8.87253570837168e-66,0.999999778847478,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
9.06469221704925e-301,4.00364901064825e-64,5.65440991059254e-119,6.43928684372834e-13,2.03629779344042e-235,5.67909586522142e-89,8.28430169882446e-133,0.999999999999356,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
4.58927672926013e-177,1.89033058458408e-251,7.17781234618842e-159,4.9556407700062e-222,0,9.91830032374611e-89,7.93102235514719e-251,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
4.6430313133577e-319,2.94669457234253e-251,3.17306250056853e-318,5.9994177512984e-133,1.1381422093026e-27,3.95114624663594e-105,9.28199074018733e-216,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
6.79926120747699e-31,5.01039713495717e-187,1.90547748850455e-244,1.23385375899327e-140,4.82904088964694e-98,2.62782477213786e-103,2.22697012756235e-275,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.48946408805802e-175,1.8138900582103e-105,2.70608611884109e-192,2.47524778599871e-43,5.56773113164413e-43,2.97614960776882e-65,7.08951042476973e-198,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.14364877516191e-148,2.15416617145407e-90,1.78952636941278e-215,1.34847491709059e-06,4.21997060400533e-234,1.09047839350351e-29,4.85877993166687e-63,0.999998651525083,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.18953674731905e-127,1.70657168859651e-214,1.17003153267261e-278,5.56327751791529e-186,0,1.96165271598488e-68,3.90833047965341e-274,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.2468538090176e-173,7.14529482123098e-125,1.56871698019386e-114,1.08944449366681e-17,7.976164634443e-178,2.23588999163702e-130,2.21443446044159e-157,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
